src_ip,dst_ip,protocol,length,src_port,dst_port,timestamp
10.167.121.208,10.167.121.2,6,66,56476,53,1711807969.946046
10.167.121.208,10.167.121.2,6,66,56477,54,1711807969.946828
10.167.121.208,10.167.121.2,6,66,56478,55,1711807969.94985
10.167.121.208,10.167.121.2,6,66,56479,56,1711807969.949953
10.167.121.208,10.167.121.2,6,66,56480,57,1711807969.95337
10.167.121.208,10.167.121.2,6,66,56481,58,1711807969.953725
10.167.121.208,10.167.121.2,6,66,56482,59,1711807969.953826
10.167.121.208,10.167.121.2,6,66,56483,60,1711807969.954121
10.167.121.208,10.167.121.2,6,66,56467,44,1711807969.973014
10.167.121.208,10.167.121.2,6,66,56465,41,1711807969.9734
10.167.121.208,10.167.121.2,6,66,56469,46,1711807969.976256
10.167.121.208,10.167.121.2,6,66,56468,45,1711807969.976393
10.167.121.208,10.167.121.2,6,66,56466,43,1711807969.97657
10.167.121.208,10.167.121.2,6,66,56464,42,1711807969.979253
10.167.121.208,10.167.121.2,6,66,56470,47,1711807969.983273
10.167.121.208,10.167.121.2,6,66,56471,48,1711807969.983273
10.167.121.208,10.167.121.2,6,66,56473,50,1711807969.983306
10.167.121.208,10.167.121.2,6,66,56472,49,1711807969.983312
10.167.127.248,10.167.121.208,2048,60,0,0,1711807969.983877
10.167.121.111,10.167.121.208,2048,60,0,0,1711807970.015269
10.167.122.136,10.167.121.208,2048,56,0,0,1711807970.01756
10.167.121.2,10.167.121.208,6,60,53,56476,1711807970.043465
10.167.121.2,10.167.121.208,6,60,51,56474,1711807970.043465
10.167.121.2,10.167.121.208,6,60,54,56477,1711807970.043465
10.167.121.2,10.167.121.208,6,60,52,56475,1711807970.043465
10.167.121.2,10.167.121.208,6,60,58,56481,1711807970.043465
10.167.121.2,10.167.121.208,6,60,59,56482,1711807970.043465
10.167.121.2,10.167.121.208,6,60,44,56467,1711807970.043465
10.167.121.2,10.167.121.208,6,60,45,56468,1711807970.043465
10.167.121.2,10.167.121.208,6,60,56,56479,1711807970.043465
10.167.121.2,10.167.121.208,6,60,55,56478,1711807970.043465
10.167.121.2,10.167.121.208,6,60,57,56480,1711807970.043465
10.167.121.2,10.167.121.208,6,60,41,56465,1711807970.043465
10.167.121.2,10.167.121.208,6,60,60,56483,1711807970.043465
10.167.121.2,10.167.121.208,6,60,43,56466,1711807970.043465
10.167.121.2,10.167.121.208,6,60,48,56471,1711807970.043465
10.167.121.2,10.167.121.208,6,60,47,56470,1711807970.043465
10.167.121.2,10.167.121.208,6,60,49,56472,1711807970.043465
10.167.121.2,10.167.121.208,6,60,46,56469,1711807970.043465
10.167.121.2,10.167.121.208,6,60,42,56464,1711807970.043465
10.167.121.2,10.167.121.208,6,60,50,56473,1711807970.043465
10.167.127.254,10.167.125.135,2048,56,0,0,1711807970.078823
10.167.121.76,10.167.127.254,2048,56,0,0,1711807970.079339
10.167.121.208,10.167.121.2,6,66,56459,37,1711807970.089703
10.167.121.208,10.167.121.2,6,66,56454,32,1711807970.089703
10.167.121.208,10.167.121.2,6,66,56455,33,1711807970.089703
10.167.121.208,10.167.121.2,6,66,56458,36,1711807970.089704
10.167.121.208,10.167.121.2,6,66,56456,34,1711807970.089704
10.167.121.208,10.167.121.2,6,66,56453,31,1711807970.089724
10.167.121.208,10.167.121.2,6,66,56462,40,1711807970.08975
10.167.121.208,10.167.121.2,6,66,56461,39,1711807970.089756
10.167.121.208,10.167.121.2,6,66,56460,38,1711807970.089793
10.167.121.208,10.167.121.2,6,66,56457,35,1711807970.089799
10.167.121.2,10.167.121.208,6,60,32,56454,1711807970.101569
10.167.121.2,10.167.121.208,6,60,31,56453,1711807970.101569
10.167.121.2,10.167.121.208,6,60,39,56461,1711807970.101569
10.167.121.2,10.167.121.208,6,60,38,56460,1711807970.101569
10.167.121.2,10.167.121.208,6,60,36,56458,1711807970.101569
10.167.121.2,10.167.121.208,6,60,34,56456,1711807970.101569
10.167.121.2,10.167.121.208,6,60,35,56457,1711807970.101569
10.167.121.2,10.167.121.208,6,60,40,56462,1711807970.101569
10.167.121.2,10.167.121.208,6,60,33,56455,1711807970.101569
10.167.121.2,10.167.121.208,6,60,37,56459,1711807970.101569
10.167.123.104,10.167.127.255,17,92,137,137,1711807970.181131
10.167.125.18,239.255.255.250,17,212,51871,1900,1711807970.181732
10.167.127.254,10.167.124.161,2048,56,0,0,1711807970.181881
10.167.122.126,224.0.0.251,17,171,5353,5353,1711807970.283544
0.0.0.0,0.0.0.0,0,191,5353,5353,1711807970.283843
10.167.127.254,10.167.124.78,2048,56,0,0,1711807970.386232
10.167.127.254,10.167.125.177,2048,56,0,0,1711807970.488611
10.167.121.208,10.167.121.2,6,66,56475,52,1711807970.547562
10.167.121.208,10.167.121.2,6,66,56464,42,1711807970.547562
10.167.121.208,10.167.121.2,6,66,56480,57,1711807970.547562
10.167.121.208,10.167.121.2,6,66,56482,59,1711807970.547562
10.167.121.208,10.167.121.2,6,66,56476,53,1711807970.547562
10.167.121.208,10.167.121.2,6,66,56481,58,1711807970.547562
10.167.121.208,10.167.121.2,6,66,56473,50,1711807970.547562
10.167.121.208,10.167.121.2,6,66,56477,54,1711807970.547588
10.167.121.208,10.167.121.2,6,66,56471,48,1711807970.547593
10.167.121.208,10.167.121.2,6,66,56472,49,1711807970.547725
10.167.121.208,10.167.121.2,6,66,56479,56,1711807970.547727
10.167.121.208,10.167.121.2,6,66,56467,44,1711807970.547731
10.167.121.208,10.167.121.2,6,66,56469,46,1711807970.547727
10.167.121.208,10.167.121.2,6,66,56468,45,1711807970.547747
10.167.121.208,10.167.121.2,6,66,56465,41,1711807970.547759
10.167.121.208,10.167.121.2,6,66,56483,60,1711807970.54777
10.167.121.208,10.167.121.2,6,66,56466,43,1711807970.547788
10.167.121.208,10.167.121.2,6,66,56470,47,1711807970.547821
10.167.121.208,10.167.121.2,6,66,56474,51,1711807970.549165
10.167.121.208,10.167.121.2,6,66,56478,55,1711807970.54928
10.167.121.2,10.167.121.208,6,60,48,56471,1711807970.560382
10.167.121.2,10.167.121.208,6,60,54,56477,1711807970.560382
10.167.121.2,10.167.121.208,6,60,57,56480,1711807970.560382
10.167.121.2,10.167.121.208,6,60,59,56482,1711807970.560382
